ts_code,名称,最后触发日期,当前股价,涨跌幅%,当天成交量,上一交易日成交量
000029.SZ,深深房A,2025-08-04,20.69,2.43,5835500,4541094
000030.SZ,富奥股份,2025-08-04,6.12,-1.61,9491300,15004047
000031.SZ,大悦城,2025-08-04,3.05,-0.97,14035500,20296500
000061.SZ,农产品,2025-08-04,6.63,-0.45,13370400,12218100
000338.SZ,潍柴动力,2025-08-04,15.15,-0.59,32114500,37385599
000541.SZ,佛山照明,2025-08-04,6.46,-0.62,12780000,14926128
000668.SZ,*ST荣控,2025-08-04,9.12,1.22,3784100,5417100
000768.SZ,中航西飞,2025-08-04,28.79,-2.34,40914100,57189014
000779.SZ,甘咨询,2025-08-04,9.47,-0.32,4795000,6029520
000963.SZ,华东医药,2025-08-04,42.89,-2.52,11878100,12514024
000967.SZ,盈峰环境,2025-08-04,6.92,-1.0,31133500,39877692
000978.SZ,桂林旅游,2025-08-04,6.4,0.0,5578000,7901300
001255.SZ,博菲电气,2025-08-04,33.76,1.14,1826100,1474800
001298.SZ,好上好,2025-08-04,32.16,9.99,47589600,17478974
001318.SZ,阳光乳业,2025-08-04,14.37,-0.07,22616500,27834478
001339.SZ,智微智能,2025-08-04,54.07,-1.13,10376600,13845289
001358.SZ,兴欣新材,2025-08-04,24.84,2.77,3475200,4040746
001872.SZ,招商港口,2025-08-04,20.49,0.64,3453800,1989700
002049.SZ,紫光国微,2025-08-04,76.92,0.03,36675600,41792341
002075.SZ,沙钢股份,2025-08-04,6.58,-1.79,49327700,63976234
002159.SZ,三特索道,2025-08-04,15.33,0.0,2406000,3614800
002224.SZ,三力士,2025-08-04,4.7,-0.63,15736900,21745900
002277.SZ,友阿股份,2025-08-04,6.05,0.0,25524700,27238618
002335.SZ,科华数据,2025-08-04,42.07,-1.57,20427000,28404171
002345.SZ,潮宏基,2025-08-04,16.9,2.8,34110300,30371196
002380.SZ,科远智慧,2025-08-04,26.17,-1.43,6871300,10718566
002406.SZ,远东传动,2025-08-04,8.55,-1.95,64162100,109073594
002465.SZ,海格通信,2025-08-04,13.95,-0.57,97634500,168348806
002496.SZ,*ST辉丰,2025-08-04,1.68,0.6,9717900,11789464
002580.SZ,圣阳股份,2025-08-04,13.93,2.13,35764700,18518409
002590.SZ,万安科技,2025-08-04,13.98,-0.78,8825800,13235474
002637.SZ,赞宇科技,2025-08-04,10.74,-1.65,12641500,7879400
002639.SZ,雪人集团,2025-08-04,11.42,-1.64,67260900,91318777
002640.SZ,跨境通,2025-08-04,5.3,1.15,120338400,81703765
002735.SZ,王子新材,2025-08-04,15.21,-3.0,24892200,35854911
002746.SZ,仙坛股份,2025-08-04,6.31,0.48,8575600,9526650
003035.SZ,南网能源,2025-08-04,4.71,-0.21,8217400,13222810
300007.SZ,汉威科技,2025-08-04,49.4,3.8,40211900,47591960
300110.SZ,华仁药业,2025-08-04,3.51,-0.57,22585800,33595660
300111.SZ,向日葵,2025-08-04,3.81,-1.04,104885100,75159958
300159.SZ,*ST新研,2025-08-04,3.37,3.69,63766700,46521900
300233.SZ,金城医药,2025-08-04,18.33,1.44,25896600,21559881
300454.SZ,深信服,2025-08-04,107.56,-1.67,6092000,4721855
300549.SZ,优德精密,2025-08-04,22.08,-1.12,10230300,13485985
300650.SZ,太龙股份,2025-08-04,15.06,-0.66,11689700,15737300
300689.SZ,澄天伟业,2025-08-04,60.9,0.31,12070000,13975953
300710.SZ,万隆光电,2025-08-04,20.82,0.0,2044600,3137556
300720.SZ,海川智能,2025-08-04,25.64,9.01,16691500,6681210
300756.SZ,金马游乐,2025-08-04,28.78,0.31,3362900,5370641
300787.SZ,海能实业,2025-08-04,15.1,1.27,19974100,14248299
300873.SZ,海晨股份,2025-08-04,23.85,1.49,11444300,10384197
300918.SZ,南山智尚,2025-08-04,20.37,-2.54,16784100,31455576
300946.SZ,恒而达,2025-08-04,61.13,-5.22,12707000,10568889
300957.SZ,贝泰妮,2025-08-04,45.67,0.31,3397700,2729910
300960.SZ,通业科技,2025-08-04,33.38,-1.3,4983400,10098987
300988.SZ,津荣天宇,2025-08-04,21.72,-0.46,3469200,4675563
301009.SZ,可靠股份,2025-08-04,14.66,0.76,10743100,9742599
301013.SZ,利和兴,2025-08-04,18.15,-1.84,7966000,12677137
301021.SZ,英诺激光,2025-08-04,32.2,0.66,4261300,4566964
301055.SZ,张小泉,2025-08-04,20.15,1.21,3173100,3606343
301082.SZ,久盛电气,2025-08-04,19.06,-1.95,6513600,7352366
301097.SZ,天益医疗,2025-08-04,46.33,0.22,962000,921696
301112.SZ,信邦智能,2025-08-04,41.74,-1.39,4599200,5096423
301158.SZ,德石股份,2025-08-04,19.05,0.26,6542400,7066767
301203.SZ,国泰环保,2025-08-04,34.92,2.17,3944000,1908581
301216.SZ,万凯新材,2025-08-04,15.35,1.93,30616700,33750725
301267.SZ,华厦眼科,2025-08-04,20.53,0.44,5397900,4547966
301277.SZ,新天地,2025-08-04,15.28,-0.07,7590600,12466190
301285.SZ,鸿日达,2025-08-04,44.95,-0.64,5036000,9139309
301298.SZ,东利机械,2025-08-04,17.81,-0.78,3240000,5262998
301303.SZ,真兰仪表,2025-08-04,17.6,-0.17,10475900,15433747
301322.SZ,绿通科技,2025-08-04,33.4,3.44,10408800,9722607
301365.SZ,矩阵股份,2025-08-04,19.44,-3.52,6814300,10838055
301525.SZ,儒竞科技,2025-08-04,84.57,-2.07,1440300,1931083
600004.SH,白云机场,2025-08-04,9.4,0.21,8672100,12278007
600021.SH,上海电力,2025-08-04,10.11,-0.2,49837900,82303578
600055.SH,万东医疗,2025-08-04,17.57,0.23,7863100,5338009
600098.SH,广州发展,2025-08-04,6.52,0.46,13013600,12994801
600179.SH,安通控股,2025-08-04,3.25,0.31,31755500,37751129
