代码,日期,开盘,收盘,最高,最低,成交量,成交额,涨跌幅
920005.SH,2025-07-31,59.0,64.63,69.0,59.0,16974300.0,1059890107.92,479.12
839680.SH,2025-07-31,6.6,12.24,12.24,6.6,24209800.0,230889246.84,29.94
688189.SH,2025-07-31,14.72,17.14,17.14,14.7,34055900.0,559273466.0,20.03
300009.SZ,2025-07-31,10.29,12.11,12.11,10.28,330564200.0,3833904931.62,20.02
300579.SZ,2025-07-31,32.5,36.6,36.6,32.5,35661700.0,1253366527.42,20.0
301171.SZ,2025-07-31,29.67,33.54,33.54,29.1,116125400.0,3692805945.08,20.0
301489.SZ,2025-07-31,90.69,103.66,103.66,90.69,6633700.0,667203051.43,20.0
300733.SZ,2025-07-31,17.19,20.71,20.71,17.18,35557100.0,700590157.84,19.99
300966.SZ,2025-07-31,21.2,24.61,24.61,20.79,12628100.0,296041553.39,19.99
688110.SH,2025-07-31,59.5,64.76,64.76,59.03,31929400.0,1999722184.0,19.99
300289.SZ,2025-07-31,7.04,7.04,7.04,7.04,16124800.0,113518606.08,19.93
300436.SZ,2025-07-31,99.47,114.5,116.4,99.0,21975800.0,2414871329.2,18.04
301357.SZ,2025-07-31,85.67,102.95,105.0,85.66,15736400.0,1482455991.64,17.22
300158.SZ,2025-07-31,7.5,8.62,8.87,7.47,263063100.0,2173246517.79,16.64
688511.SH,2025-07-31,21.11,23.79,24.16,20.7,6898800.0,155901807.0,15.54
832662.SH,2025-07-31,27.0,30.97,33.88,27.0,14316200.0,433381410.33,15.13
301326.SZ,2025-07-31,71.9,81.91,86.3,71.09,8856500.0,718647131.0,13.89
301316.SZ,2025-07-31,41.6,47.15,49.93,41.55,59189400.0,2711186802.76,13.31
688136.SH,2025-07-31,45.98,53.25,54.1,43.56,19242800.0,956497187.0,13.15
300731.SZ,2025-07-31,29.61,33.35,33.8,29.61,16552300.0,535756811.23,12.82
300261.SZ,2025-07-31,7.8,8.81,9.0,7.8,141723500.0,1216138213.76,12.09
301150.SZ,2025-07-31,26.4,28.56,30.5,26.4,28345600.0,811006603.14,11.69
688507.SH,2025-07-31,85.68,94.84,98.0,85.63,8720200.0,807799194.0,10.63
300204.SZ,2025-07-31,46.9,51.99,53.43,46.24,29993900.0,1511151225.71,10.55
301338.SZ,2025-07-31,47.29,51.8,56.28,46.85,13710700.0,719766737.94,10.45
688668.SH,2025-07-31,88.0,95.9,101.5,88.0,15321300.0,1475844946.0,10.24
603229.SH,2025-07-31,10.52,11.61,11.61,10.4,110203000.0,1252608185.0,10.05
002706.SZ,2025-07-31,8.75,9.64,9.64,8.74,87979700.0,837891753.68,10.05
001331.SZ,2025-07-31,12.72,12.72,12.72,12.72,4810600.0,61191442.56,10.03
001267.SZ,2025-07-31,13.05,14.39,14.39,12.86,68394500.0,962344676.72,10.02
600110.SH,2025-07-31,5.65,6.26,6.26,5.64,311976300.0,1920357938.0,10.02
603273.SH,2025-07-31,19.0,21.09,21.09,18.94,21796700.0,455236561.0,10.02
603757.SH,2025-07-31,23.61,26.13,26.13,23.55,9985200.0,250247722.0,10.02
603839.SH,2025-07-31,9.44,9.44,9.44,9.44,5248100.0,49542376.0,10.02
002287.SZ,2025-07-31,30.73,31.54,31.54,30.23,13611100.0,426920551.4,10.01
603124.SH,2025-07-31,51.21,55.29,55.29,51.21,9729500.0,523588709.0,10.01
001318.SZ,2025-07-31,17.0,18.14,18.14,16.69,52137100.0,923835694.54,10.01
002837.SZ,2025-07-31,40.15,40.21,40.21,40.11,26142000.0,1050691002.7,10.01
603173.SH,2025-07-31,41.26,45.39,45.39,41.03,7049900.0,307409546.0,10.01
603280.SH,2025-07-31,52.0,54.86,54.86,52.0,8238500.0,443223785.0,10.01
603063.SH,2025-07-31,35.38,37.9,37.9,35.38,33456200.0,1241341137.0,10.01
603516.SH,2025-07-31,56.39,60.48,60.48,56.39,24192400.0,1446123054.0,10.0
002757.SZ,2025-07-31,21.78,21.78,21.78,20.79,78390500.0,1696453228.48,10.0
000811.SZ,2025-07-31,11.65,12.76,12.76,11.65,89242500.0,1128222704.02,10.0
000889.SZ,2025-07-31,3.71,3.85,3.85,3.71,32427400.0,124506197.6,10.0
603256.SH,2025-07-31,22.4,23.54,23.54,22.23,55348600.0,1292455837.0,10.0
002799.SZ,2025-07-31,8.35,9.24,9.24,8.34,30005200.0,269758017.57,10.0
002775.SZ,2025-07-31,4.07,4.4,4.4,4.03,31916700.0,138602427.0,10.0
002940.SZ,2025-07-31,52.54,57.2,57.2,52.54,20965900.0,1164795684.78,10.0
002424.SZ,2025-07-31,5.4,5.94,5.94,5.36,113224800.0,645026602.99,10.0
600774.SH,2025-07-31,11.33,11.33,11.33,11.33,23614200.0,267548739.0,10.0
600501.SH,2025-07-31,21.61,23.77,23.77,21.4,24354600.0,569886189.0,10.0
601606.SH,2025-07-31,30.57,34.68,34.68,29.88,148929000.0,4965169852.0,9.99
605389.SH,2025-07-31,44.9,48.99,48.99,44.57,4538300.0,214910528.0,9.99
603059.SH,2025-07-31,27.8,30.71,30.71,27.52,9553600.0,291539626.0,9.99
603083.SH,2025-07-31,50.63,54.28,54.29,50.6,74150100.0,3989206438.0,9.99
600579.SH,2025-07-31,11.13,11.13,11.13,10.45,89806000.0,985659507.0,9.98
002272.SZ,2025-07-31,11.05,12.12,12.12,11.04,96250900.0,1135214868.86,9.98
000813.SZ,2025-07-31,4.48,4.85,4.85,4.33,253715500.0,1176059904.14,9.98
